url	cat	title	title_chars	n_h1	toc_items	n_h2	n_h3	n_para	body_chars	figs	tables	rel_n	photos	has_next_bar	longest_word
/artikel/hantaran-mas-kahwin/hantaran-kahwin	hantaran-mas-kahwin	Hantaran Kahwin Lengkap Untuk Lelaki dan Perempuan – Panduan & Tips Bajet Terkini	81	2	24	5	19	134	12368	1	0	6	26	yes	menitikberatkan
/artikel/hantaran-mas-kahwin/hantaran-kahwin-5-balas-7	hantaran-mas-kahwin	Hantaran kahwin 5 balas 7: isi dua belas dulang itu	51	2	11	7	4	58	6982	3	2	6	4	yes	menghiaskannya
/artikel/hantaran-mas-kahwin/hantaran-kahwin-bajet	hantaran-mas-kahwin	Hantaran kahwin bajet: kos sebenar 12 dulang, 2026	50	2	11	7	4	63	6985	2	2	6	3	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/hantaran-tema-warna	hantaran-mas-kahwin	Tema warna hantaran: cara padankan tanpa beli dua kali	54	2	13	9	4	109	8922	3	3	6	4	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/hantaran-tempah-atau-buat-sendiri	hantaran-mas-kahwin	Hantaran: tempah atau buat sendiri? Kos sebenar 7 dulang	56	2	11	7	4	105	10351	3	3	6	4	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/hantaran-tunang	hantaran-mas-kahwin	Hantaran Tunang Lelaki & Perempuan – Barang Apa Patut Ada Dalam Dulang?	71	2	5	5	0	61	8895	2	0	5	14	yes	menggembirakan
/artikel/hantaran-mas-kahwin/hantaran-tunang-3-balas-5	hantaran-mas-kahwin	Hantaran tunang 3 balas 5: apa yang dibawa dan dibalas	54	2	11	7	4	48	6666	3	2	6	4	yes	menggantikannya
/artikel/hantaran-mas-kahwin/hantaran-tunang-simple	hantaran-mas-kahwin	Hantaran tunang simple: contoh lapan dulang dan kosnya	54	2	10	7	3	29	6176	2	0	5	3	yes	ketidakselarasan
/artikel/hantaran-mas-kahwin/hantaran-tunang-untuk-lelaki	hantaran-mas-kahwin	Hantaran tunang untuk lelaki: apa yang dibalas dan harganya	59	2	11	7	4	31	7523	2	0	5	3	yes	menggantikannya
/artikel/hantaran-mas-kahwin/hantaran-tunang-untuk-perempuan	hantaran-mas-kahwin	Hantaran tunang untuk perempuan: apa yang dibawa masuk	54	2	11	7	4	28	6892	3	0	5	4	yes	menggantikannya
/artikel/hantaran-mas-kahwin/hantaran-untuk-lelaki	hantaran-mas-kahwin	Hantaran untuk lelaki: senarai barang dan kos 2026	50	2	15	8	7	83	9332	2	3	6	3	yes	pustakamukminkl
/artikel/hantaran-mas-kahwin/hantaran-wajib-atau-adat	hantaran-mas-kahwin	Hantaran wajib atau adat: mana yang boleh ditolak	49	2	12	7	5	56	9389	3	1	6	4	yes	mentakrifkannya
/artikel/hantaran-mas-kahwin/hidden-hantaran	hantaran-mas-kahwin	Hidden hantaran: maksud, sebab ia popular dan cara buat	55	2	16	9	7	65	10843	3	1	6	4	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri	hantaran-mas-kahwin	Mas kahwin ikut negeri 2026: kadar minimum setiap negeri	56	2	0	0	7	124	13643	3	1	6	4	yes	mentakrifkannya
/artikel/hantaran-mas-kahwin/mas-kahwin-johor	hantaran-mas-kahwin	Mas kahwin Johor 2026: RM22.50 dan asal usul angkanya	53	2	0	0	6	61	8215	3	1	6	4	yes	mentakrifkannya
/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu	hantaran-mas-kahwin	Mas kahwin Kelantan dan Terengganu 2026: tiada kadar tetap	58	2	0	0	6	88	9143	3	3	6	4	yes	mentakrifkannya
/artikel/hantaran-mas-kahwin/mas-kahwin-melebihi-kadar-minimum	hantaran-mas-kahwin	Bolehkah mas kahwin melebihi kadar minimum negeri?	50	2	10	6	4	37	7130	3	0	6	4	yes	menyatakannya
/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan	hantaran-mas-kahwin	Mas kahwin Pahang dan Negeri Sembilan 2026: kadar rasmi	55	2	0	0	9	78	8967	4	1	6	5	yes	mentakrifkannya
/artikel/hantaran-mas-kahwin/mas-kahwin-perak	hantaran-mas-kahwin	Mas kahwin Perak 2026: tiada kadar minimum ditetapkan	53	2	0	0	7	49	7519	3	1	6	4	yes	perkahwinannya
/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak	hantaran-mas-kahwin	Mas kahwin Sabah dan Sarawak 2026: tiada kadar tetap	52	2	0	0	7	89	8287	3	3	6	4	yes	menerbitkannya
/artikel/hantaran-mas-kahwin/nisbah-hantaran	hantaran-mas-kahwin	Nisbah hantaran: maksud dulang berbalas dan asal usulnya	56	2	12	8	4	44	7558	2	1	6	3	yes	mencampurkannya
/artikel/hantaran-mas-kahwin/persiapan-hantaran-kahwin	hantaran-mas-kahwin	Persiapan hantaran kahwin: jadual lapan minggu	46	2	14	10	4	59	6792	2	1	6	3	yes	menyenaraikan
/artikel/hantaran-mas-kahwin/sirih-junjung	hantaran-mas-kahwin	Sirih junjung: maksud, cara dibuat dan harganya 2026	52	2	12	8	4	63	8653	3	2	6	4	yes	perbendaharaan
/artikel/hantaran-mas-kahwin/tempat-beli-hantaran	hantaran-mas-kahwin	Tempat beli barang hantaran: lima jenis kedai	45	2	13	9	4	89	7768	2	2	6	3	yes	dipertanggungjawabkan
/artikel/hiasan-dekorasi/goodies-kahwin	hiasan-dekorasi	20+ Idea Goodies Kahwin dan Hadiah yang Patut Dielakkan	55	2	0	3	0	51	6638	0	0	0	12	no	dipersonalisasi
/artikel/idea-dan-nasihat/cara-buat-kad-kahwin-digital	idea-dan-nasihat	Cara Buat Kad Kahwin Digital Sendiri – Lengkap Dengan Contoh & Template Percuma	79	2	9	7	2	120	8269	0	1	6	6	yes	profesionalisme
/artikel/idea-dan-nasihat/dewan-kahwin	idea-dan-nasihat	10 Dewan Kahwin Murah di Selangor & KL – Sesuai untuk Bajet Bawah RM5,000	73	2	11	11	0	45	7366	7	0	6	12	yes	merealisasikan
/artikel/idea-dan-nasihat/garden-wedding	idea-dan-nasihat	20 Venue Garden Wedding Paling Cantik di Malaysia	49	2	21	21	0	82	13827	21	0	6	49	yes	berinspirasikan
/artikel/idea-dan-nasihat/hadiah-untuk-pengantin	idea-dan-nasihat	Hadiah untuk Pengantin Sesuai untuk Semua Bajet – 17 Pilihan	60	2	18	17	1	49	7255	7	0	6	11	yes	menjadikannya
/artikel/idea-dan-nasihat/kursus-kahwin	idea-dan-nasihat	Kursus Kahwin: Panduan Lengkap Daftar, Syarat & Tempat di Seluruh Malaysia	74	2	12	9	3	138	12496	18	1	6	19	yes	perkahwinanSijil
/artikel/idea-dan-nasihat/majlis-kahwin	idea-dan-nasihat	10 Lokasi Majlis Kahwin yang Popular di Shah Alam	49	2	11	11	0	48	8242	9	0	6	21	yes	profesionalnya
/artikel/idea-dan-nasihat/pelamin-kahwin-dewan	idea-dan-nasihat	10 Jenis Venue Dewan Kahwin yang Sesuai untuk Pelamin Gaya Moden	64	2	11	11	0	68	8321	4	0	6	5	yes	ditransformasi
/artikel/idea-dan-nasihat/sewa-dewan-kahwin	idea-dan-nasihat	Checklist Sewa Dewan Kahwin: Apa yang Perlu Ditanya Sebelum Bayar Deposit	73	2	13	13	0	58	7722	0	0	6	9	yes	membenarkannya
/artikel/idea-dan-nasihat/tempat-honeymoon-di-malaysia	idea-dan-nasihat	19 Tempat Honeymoon di Malaysia yang Wajib Masuk Wishlist Pasangan	66	2	0	2	19	400	25955	15	0	6	17	yes	berlatarbelakangkan
/artikel/idea-dan-nasihat/wedding-planner-terbaik-di-malaysia	idea-dan-nasihat	14 Wedding Planner Terbaik di Malaysia Pilihan Pengantin Tahun Ini	66	2	16	7	9	73	7678	14	0	6	15	yes	jasamoureweddingconcept
/artikel/minimalis-mewah/the-danna-langkawi	minimalis-mewah	Majlis Perkahwinan Intim Bertemakan Warna Pastel Tropika di The Danna Langkawi	78	2	0	0	0	11	755	0	0	0	26	no	menampilkan
/artikel/moden-kontemporari/jw-marriott-kuala-lumpur	moden-kontemporari	Perkahwinan Kontemporari Bertema Chinoiserie di JW Marriott Kuala Lumpur	72	2	0	0	0	23	3443	0	0	3	23	yes	Cinematography
/artikel/moden-kontemporari/marriott-putrajaya	moden-kontemporari	Tema Perkahwinan Monokrom yang Bergaya di Marriott Putrajaya	60	2	0	0	0	8	616	0	0	3	19	yes	menampilkan
/artikel/moden-kontemporari/perkahwinan-romantis-di-jen-shangri-la-puteri-harbour	moden-kontemporari	Perkahwinan Romantis di JEN Shangri-La, Puteri Harbour	54	2	0	0	0	17	3267	0	0	3	46	yes	exclusivenabilazulkipli
/artikel/moden-kontemporari/sime-darby-convention-centre	moden-kontemporari	Majlis Perkahwinan Mewah dengan Sentuhan Warna Lembut di Sime Darby Convention Centre	85	2	0	0	0	12	721	0	0	3	21	yes	menampilkan
/artikel/nikah-undang-undang/borang-nikah	nikah-undang-undang	Borang Nikah: Borang Mana, Isi Apa, Hantar Ke Mana	50	2	14	8	6	69	10230	3	1	3	4	yes	menggantikannya
/artikel/nikah-undang-undang/lafaz-taklik	nikah-undang-undang	Lafaz Taklik: Apa Suami Baca Selepas Akad, dan Apa Ertinya	58	2	11	8	3	33	6731	3	0	2	4	yes	mengesahkannya
/artikel/nikah-undang-undang/rukun-nikah	nikah-undang-undang	Rukun Nikah: 5 Rukun dan Apa Yang Membatalkannya	48	2	11	9	2	39	7897	4	0	2	5	yes	mengakadnikahkan
/artikel/nikah-undang-undang/syarat-sah-nikah	nikah-undang-undang	Syarat Sah Nikah: Senarai Penuh Ikut Setiap Pihak	49	2	13	8	5	49	8665	4	0	2	5	yes	mengakadnikahkannya
/artikel/pantai-santai/perkahwinan-indah-di-laman-fajar-menyinsing-port-dickson	pantai-santai	Perkahwinan Indah di Laman Fajar Menyinsing, Port Dickson	57	2	0	0	0	22	4110	0	0	0	37	no	persekitarannya
/artikel/pelamin-kad-cenderahati/bunga-telur	pelamin-kad-cenderahati	Bunga telur: maksud, beza dengan bunga pahar, dan kos	53	2	17	8	9	72	10181	2	2	2	3	yes	jvcraftandgifts
/artikel/pelamin-kad-cenderahati/contoh-kad-jemputan-kahwin	pelamin-kad-cenderahati	Contoh kad jemputan kahwin: susunan, ayat dan silap biasa	57	2	19	8	11	75	8950	3	1	2	4	yes	Assalamualaikum
/artikel/pelamin-kad-cenderahati/pelamin	pelamin-kad-cenderahati	Pelamin 2026: jenis, saiz dan apa yang menentukan harga	55	2	25	8	17	95	13276	2	1	2	3	yes	pelaminselangor
/artikel/real-wedding/cheong-fatt-tze-mansion	real-wedding	Perkahwinan Pelbagai Budaya di Cheong Fatt Tze Mansion, Ikon Bersejarah Pulau Pinang	84	2	0	0	0	17	3160	0	0	5	23	yes	memperlihatkan
/artikel/real-wedding/perkahwinan-di-ruma-hotel-kuala-lumpur-dengan-sentuhan-warisan-peranakan	real-wedding	Perkahwinan di Ruma Hotel Kuala Lumpur Dengan Sentuhan Warisan Peranakan	72	2	0	0	0	23	4124	0	0	5	34	yes	mempercepatkan
/artikel/real-wedding/perkahwinan-taman-kebun-yang-minimalis-di-hulu-langat	real-wedding	Perkahwinan Taman Kebun yang Minimalis di Hulu Langat	53	2	0	0	0	29	3614	0	0	5	21	yes	Munchybabyevents
/artikel/real-wedding/sentosa-janda-baik	real-wedding	Majlis Perkahwinan Penuh Nilai Budaya di Sentosa, Janda Baik dengan Inspirasi Warisan Diraja	92	2	0	0	0	25	3554	0	0	5	25	yes	Berlatarbelakangkan
/artikel/real-wedding/villa-warisan	real-wedding	Villa Warisan: Majlis Perkahwinan Tradisional di Lokasi Bernuansa Kayu dan Penuh Nilai Warisan	94	2	0	0	0	11	695	0	0	5	23	yes	menampilkan
/artikel/real-wedding/yasaka-shrine	real-wedding	Perkahwinan Jepun di Yasaka Shrine & Majlis Resepsi Bertemakan Sakura di Sodoh Higashiyama	90	2	0	0	0	14	2887	0	0	5	22	yes	berkomunikasi
/artikel/sebelum-nikah/cincin-tunang	sebelum-nikah	Cincin Tunang, Nikah dan Merisik: Tiga Cincin, Siapa Beri yang Mana	67	2	9	8	1	76	12453	4	1	2	5	yes	menyenaraikannya
/artikel/sebelum-nikah/doa-majlis-pertunangan	sebelum-nikah	Doa Majlis Pertunangan: Apa yang Sebenarnya Dibaca, dan Apa yang Tidak	70	2	13	9	4	90	14142	4	1	2	5	yes	menggugurkannya
/artikel/sebelum-nikah/taaruf-maksud	sebelum-nikah	Taaruf Maksud: Apa Itu Taaruf dan Apa Bezanya dengan Bercinta	61	2	13	10	3	99	15253	3	1	2	4	yes	menggalakkannya
/artikel/ucapan-doa/doa-majlis-perkahwinan	ucapan-doa	Doa majlis perkahwinan: struktur, tempoh dan siapa baca	55	2	20	12	8	118	14241	4	2	1	5	yes	menggantikannya
/artikel/ucapan-doa/doa-pengantin-baru	ucapan-doa	Doa pengantin baru: lafaz penuh, rumi dan maksudnya	51	2	13	8	5	63	9029	3	1	1	4	yes	Allahummarzuqni
/artikel/ucapan-doa/skrip-pengacara-majlis-perkahwinan	ucapan-doa	Skrip pengacara majlis perkahwinan: susunan dan lafaz	53	2	16	11	5	149	13298	5	5	4	6	yes	menyelesaikannya
/artikel/ucapan-doa/ucapan-pengantin-baru	ucapan-doa	Ucapan pengantin baru: apa yang ditulis ikut siapa dia	54	2	22	12	10	113	10667	4	2	4	5	yes	ditandatangani
/artikel/ucapan-doa/walimatul-urus	ucapan-doa	Walimatul urus: maksud, hukum dan adab jemputan	47	2	16	9	7	102	11428	5	3	4	6	yes	bertanggungjawab
/artikel/venue-perancangan/bajet-kahwin	venue-perancangan	Bajet Kahwin 2026: Apa yang Boleh Diharga Tepat, dan Apa yang Tidak	67	2	9	6	3	49	7220	4	1	3	5	yes	diperuntukkan
/artikel/venue-perancangan/checklist-kahwin	venue-perancangan	Checklist Kahwin: Senarai Persediaan 12 Bulan Sebelum Majlis, Ikut Urutan	73	2	11	11	0	51	6894	4	0	3	5	yes	menyenaraikan
/artikel/venue-perancangan/harga-sewa-dewan-kahwin	venue-perancangan	Harga Sewa Dewan Kahwin 2026: Kadar Rasmi Majlis Perbandaran, Bukan Anggaran	76	2	12	8	4	121	11599	4	3	3	5	yes	menganggarkannya
/artikel/venue-perancangan/pakej-dewan-kahwin	venue-perancangan	Pakej Dewan Kahwin: Apa yang Termasuk, dan Apa yang Selalu Tak Termasuk	71	2	7	7	0	86	7215	4	2	3	5	yes	diisytiharkan
