query,cluster,landing_page,impressions,clicks,position,actual_ctr_pct,serp_data,ai_overview_present,ai_overview_position,paa_present,image_pack_present,expected_ctr_pct,ratio_actual_over_expected,serp_update_date,tier
mas kawin perak,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,10,0,11.5,0.0,yes,true,1,true,true,NA,NA,2026-08-03T20:30:27Z,extension
outdoor wedding,garden-wedding,/garden-wedding/,10,0,31,0.0,yes,true,1,true,false,NA,NA,2026-07-30T09:20:35Z,extension
hantaran tunang 5 balas 7,mas-kahwin,/artikel/hantaran-mas-kahwin/hantaran-kahwin-5-balas-7,9,0,8.11,0.0,yes,true,1,true,true,2.078,0.0,2026-08-25T02:46:06Z,extension
hantaran tunang untuk lelaki,mas-kahwin,/artikel/hantaran-mas-kahwin/hantaran-tunang,9,0,12.56,0.0,yes,true,1,true,true,NA,NA,2026-08-24T03:09:16Z,extension
hantaran tunang untuk perempuan,hantaran,/artikel/hiasan-dekorasi/hantaran-tunang,9,0,8.11,0.0,yes,true,1,true,true,2.078,0.0,2026-08-28T05:56:47Z,extension
mas kahwin melaka 2026,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,8,0,11,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
mas kahwin sabah 2026,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,8,0,8.38,0.0,NO DATA,unknown,,unknown,unknown,2.024,0.0,,extension
waris di hari perkahwinan,lain-lain,/category/real-wedding/warisan-tradisi/,8,0,12.75,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
花园婚礼 马来西亚 地点,garden-wedding,/garden-wedding/,8,0,29.38,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
harga sewa dewan kahwin,dewan-venue,/dewan-kahwin/,7,1,2.43,14.286,NO DATA,unknown,,unknown,unknown,15.045,0.95,,extension
dulang hantaran tunang,hantaran,/artikel/hiasan-dekorasi/hantaran-tunang,7,0,8.29,0.0,yes,true,1,true,true,2.042,0.0,2026-08-11T12:17:11Z,extension
kos kahwin 2026,perancangan-kos,/artikel/venue-perancangan/bajet-kahwin,7,0,5.57,0.0,NO DATA,unknown,,unknown,unknown,4.701,0.0,,extension
mahar johor,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,7,0,8.14,0.0,NO DATA,unknown,,unknown,unknown,2.072,0.0,,extension
mas kahwin kedah 2026,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,7,0,9.71,0.0,NO DATA,unknown,,unknown,unknown,1.687,0.0,,extension
doa akad nikah,doa-ucapan,/artikel/ucapan-doa/doa-pengantin-baru,6,0,11,0.0,yes,true,1,true,true,NA,NA,2026-08-18T04:01:16Z,extension
doa selepas nikah rumi,doa-ucapan,/artikel/ucapan-doa/doa-pengantin-baru,6,0,10,0.0,NO DATA,unknown,,unknown,unknown,1.6,0.0,,extension
kedai barang hantaran,mas-kahwin,/artikel/hantaran-mas-kahwin/tempat-beli-hantaran,6,0,9.67,0.0,yes,false,,false,true,1.699,0.0,2023-08-09T22:31:45Z,extension
lafaz taklik perak,nikah-undang-undang,/artikel/nikah-undang-undang/lafaz-taklik,6,0,8.67,0.0,yes,true,1,true,true,1.966,0.0,2026-08-11T19:23:12Z,extension
mahar ikut negeri,mas-kahwin,/mas-kahwin-ikut-negeri/,6,0,10.67,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
mas kahwin perlis,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,6,0,11,0.0,yes,true,1,true,true,NA,NA,2026-08-02T15:08:30Z,extension
mas kawin sabah,mas-kahwin,/mas-kahwin-ikut-negeri/,6,0,29.5,0.0,yes,true,1,false,true,NA,NA,2026-08-15T21:39:57Z,extension
mas kawin sarawak,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,6,0,6.83,0.0,NO DATA,unknown,,unknown,unknown,3.238,0.0,,extension
outdoor wedding venues,garden-wedding,/garden-wedding/,6,0,48,0.0,yes,false,,false,true,NA,NA,2026-07-30T07:48:50Z,extension
dewan,dewan-venue,/dewan-kahwin/,5,0,48,0.0,yes,false,,false,true,NA,NA,2026-08-06T23:26:52Z,extension
dewan kahwin murah,dewan-venue,/dewan-kahwin/,5,0,6.2,0.0,NO DATA,unknown,,unknown,unknown,4.12,0.0,,extension
dewan pusat komuniti setiawangsa,dewan-venue,/dewan-kahwin/,5,0,8.6,0.0,NO DATA,unknown,,unknown,unknown,1.98,0.0,,extension
hantaran ikut negeri,mas-kahwin,/artikel/hantaran-mas-kahwin,5,0,10.6,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
hantaran kahwin 3 balas 5,mas-kahwin,/artikel/hantaran-mas-kahwin/hantaran-tunang-3-balas-5,5,0,11,0.0,yes,true,1,false,true,NA,NA,2026-08-22T12:28:06Z,extension
hantaran tunang untuk lelaki simple,mas-kahwin,/artikel/hantaran-mas-kahwin/hantaran-tunang,5,0,10,0.0,yes,true,1,false,false,1.6,0.0,2026-07-25T22:40:47Z,extension
lafaz taklik nikah perak,nikah-undang-undang,/artikel/nikah-undang-undang/lafaz-taklik,5,0,9,0.0,NO DATA,unknown,,unknown,unknown,1.9,0.0,,extension
mas kahwin kuala lumpur 2026,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,5,0,10.4,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
mas kahwin sarawak 2026,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,5,0,9.8,0.0,NO DATA,unknown,,unknown,unknown,1.66,0.0,,extension
mas kawin setiap negeri,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,5,0,9.6,0.0,yes,true,1,false,true,1.72,0.0,2026-08-02T19:37:37Z,extension
rukun nikah,nikah-undang-undang,/artikel/nikah-undang-undang/rukun-nikah,5,0,17.8,0.0,yes,true,1,true,true,NA,NA,2026-08-26T08:41:32Z,extension
upah jurunikah pahang 2026,mas-kahwin,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,5,0,11,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
